Name,Korean Name,Address,Rating (out of 5),Notes / Review Count,Source Platform,Category,Neighborhood,Google Maps Link
National Museum of Korea,국립중앙박물관,"137 Seobinggo-ro, Yongsan-gu, Seoul",4.5,"2,525 reviews",TripAdvisor,Museum,Yongsan-gu (Ichon-dong),https://www.google.com/maps/search/?api=1&query=National%20Museum%20of%20Korea%20137%20Seobinggo-ro%2C%20Yongsan-gu%2C%20Seoul
War Memorial of Korea,전쟁기념관,"29 Itaewon-ro, Yongsan-gu, Seoul 04353",4.6,"4,399 reviews",TripAdvisor,Museum,Yongsan-gu,https://www.google.com/maps/search/?api=1&query=War%20Memorial%20of%20Korea%2029%20Itaewon-ro%2C%20Yongsan-gu%2C%20Seoul%2004353
War and Women's Human Rights Museum,전쟁과여성인권박물관,"32 World Cup buk-ro 11-gil, Mapo-gu, Seoul",4.8,86 reviews,TripAdvisor,Museum (history),Mapo-gu (Seongsan-dong),https://www.google.com/maps/search/?api=1&query=War%20and%20Women%27s%20Human%20Rights%20Museum%2032%20World%20Cup%20buk-ro%2011-gil%2C%20Mapo-gu%2C%20Seoul
Korea Furniture Museum,한국가구박물관,"121 Daesagwan-ro, Seongbuk-gu, Seoul",4.6,Only 38 reviews - small sample,TripAdvisor,Museum,Seongbuk-gu,https://www.google.com/maps/search/?api=1&query=Korea%20Furniture%20Museum%20121%20Daesagwan-ro%2C%20Seongbuk-gu%2C%20Seoul
Baek In-je's House Museum,백인제가옥,"16 Bukchon-ro 7-gil, Jongno-gu, Seoul",4.8,Only 28 reviews - small sample,TripAdvisor,Historic house museum,Jongno-gu (Bukchon),https://www.google.com/maps/search/?api=1&query=Baek%20In-je%27s%20House%20Museum%2016%20Bukchon-ro%207-gil%2C%20Jongno-gu%2C%20Seoul
Gilsangsa Temple,길상사,"68 Seonjam-ro 5-gil, Seongbuk-gu, Seoul",4.5,43 reviews,TripAdvisor,Temple,Seongbuk-gu,https://www.google.com/maps/search/?api=1&query=Gilsangsa%20Temple%2068%20Seonjam-ro%205-gil%2C%20Seongbuk-gu%2C%20Seoul
Jingwansa Temple,진관사,"73 Jingwan-gil, Eunpyeong-gu, Seoul 03308",4.5,Only 20 reviews - small sample,TripAdvisor,Temple,Eunpyeong-gu,https://www.google.com/maps/search/?api=1&query=Jingwansa%20Temple%2073%20Jingwan-gil%2C%20Eunpyeong-gu%2C%20Seoul%2003308
Ikseon-dong Hanok Street,익선동 한옥거리,"Ikseon-dong district (alleys off Donhwamun-ro), Jongno-gu, Seoul",4.5,"119 reviews; no single street address, it's a neighborhood of alleys",TripAdvisor,Historic hanok district,Jongno-gu,https://www.google.com/maps/search/?api=1&query=Ikseon-dong%20Hanok%20Street%20Ikseon-dong%20district%20%28alleys%20off%20Donhwamun-ro%29%2C%20Jongno-gu%2C%20Seoul
Eunpyeong Hanok Village,은평한옥마을,"127-27 Jingwan-dong, Eunpyeong-gu, Seoul",4.8,Only 32 reviews - small sample,TripAdvisor,Historic hanok village,Eunpyeong-gu,https://www.google.com/maps/search/?api=1&query=Eunpyeong%20Hanok%20Village%20127-27%20Jingwan-dong%2C%20Eunpyeong-gu%2C%20Seoul
Mongchontoseong Fortress,몽촌토성,"424 Olympic-ro, Songpa-gu, Seoul (within Olympic Park)",4.6,Only 16 reviews - very small sample,TripAdvisor,Historic earthen fortress wall,Songpa-gu (Bangi-dong),https://www.google.com/maps/search/?api=1&query=Mongchontoseong%20Fortress%20424%20Olympic-ro%2C%20Songpa-gu%2C%20Seoul%20%28within%20Olympic%20Park%29
Inwangsan Mountain / Seoul City Wall Trail,인왕산 (한양도성 구간),"Trail entrance: 29 Inwangsan-ro 1-gil, Jongno-gu, Seoul",4.5,90 reviews,TripAdvisor,Viewpoint & historic city wall,Jongno-gu / Seodaemun-gu border,https://www.google.com/maps/search/?api=1&query=Inwangsan%20Mountain%20/%20Seoul%20City%20Wall%20Trail%20Trail%20entrance%3A%2029%20Inwangsan-ro%201-gil%2C%20Jongno-gu%2C%20Seoul
