Name,Korean Name,Address,Rating (out of 5),Notes / Review Count,Source Platform,Cuisine,Neighborhood,Google Maps Link
Mingles,밍글스,"2F Hilltop Bldg, 19 Dosan-daero 67-gil, Gangnam-gu, Seoul",4.5,853 reviews (Google Maps); also 4.5 on TripAdvisor,Google Maps / TripAdvisor,Korean fine dining (3 Michelin stars),Cheongdam / Gangnam,https://www.google.com/maps/search/?api=1&query=Mingles%202F%20Hilltop%20Bldg%2C%2019%20Dosan-daero%2067-gil%2C%20Gangnam-gu%2C%20Seoul
Baekseju Maeul (Samseong branch),백세주마을 삼성점,"641 Bongeunsa-ro, 1F Guksundang Bldg, Gangnam-gu, Seoul 06083",4.9,TripAdvisor rating,TripAdvisor,Korean traditional / makgeolli pub,Gangnam,https://www.google.com/maps/search/?api=1&query=Baekseju%20Maeul%20%28Samseong%20branch%29%20641%20Bongeunsa-ro%2C%201F%20Guksundang%20Bldg%2C%20Gangnam-gu%2C%20Seoul%2006083
Mosu,모수,"4 Hoenamu-ro 41-gil, Yongsan-gu (Hannam-dong), Seoul",4.6,302 reviews on Google Maps; 4.9 on TripAdvisor,Google Maps / TripAdvisor,Korean fine dining (2 Michelin stars),Itaewon / Hannam-dong,https://www.google.com/maps/search/?api=1&query=Mosu%204%20Hoenamu-ro%2041-gil%2C%20Yongsan-gu%20%28Hannam-dong%29%2C%20Seoul
Yookji Hongdae,육지 홍대,"34 Dongmak-ro 3-gil, Mapo-gu, Seoul",4.9,"3,374 reviews",Google Maps,Korean BBQ,Hongdae / Mapo,https://www.google.com/maps/search/?api=1&query=Yookji%20Hongdae%2034%20Dongmak-ro%203-gil%2C%20Mapo-gu%2C%20Seoul
Taker's Table (Yeonnam),테이커테이블 연남점,"Donggyo-dong 150-2, Mapo-gu, Seoul",4.8,76 reviews,Google Maps,Italian (fresh pasta),Yeonnam-dong / Hongdae,https://www.google.com/maps/search/?api=1&query=Taker%27s%20Table%20%28Yeonnam%29%20Donggyo-dong%20150-2%2C%20Mapo-gu%2C%20Seoul
DingDim 1968 (Sinsa),딩딤 1968,"27 Gangnam-daero 160-gil, Gangnam-gu, Seoul 06028",4.5,TripAdvisor rating,TripAdvisor,Hong Kong dim sum,Sinsa,https://www.google.com/maps/search/?api=1&query=DingDim%201968%20%28Sinsa%29%2027%20Gangnam-daero%20160-gil%2C%20Gangnam-gu%2C%20Seoul%2006028
Yeongdong Gyojip (Gangnam branch),영동교집 강남점,"2F Dongyang Bldg, 499 Gangnam-daero, Seocho-gu, Seoul",4.9,646 reviews,Google Maps,Korean BBQ,Gangnam / Sinsa border,https://www.google.com/maps/search/?api=1&query=Yeongdong%20Gyojip%20%28Gangnam%20branch%29%202F%20Dongyang%20Bldg%2C%20499%20Gangnam-daero%2C%20Seocho-gu%2C%20Seoul
Cote Jardin,꼬떼자르당,"122-1 Bogwang-ro 1-gil (2F), Yongsan-gu, Seoul 04406",4.6,197 reviews,TripAdvisor,French bistro,Itaewon,https://www.google.com/maps/search/?api=1&query=Cote%20Jardin%20122-1%20Bogwang-ro%201-gil%20%282F%29%2C%20Yongsan-gu%2C%20Seoul%2004406
Blacklist,블랙리스트,"134 Itaewon-ro (3F), Yongsan-gu, Seoul",4.6,164 reviews,Google Maps,Rooftop steaks & cocktails,Itaewon,https://www.google.com/maps/search/?api=1&query=Blacklist%20134%20Itaewon-ro%20%283F%29%2C%20Yongsan-gu%2C%20Seoul
Buddha's Belly,붓다스벨리,"48 Noksapyeong-daero 40-gil, Yongsan-gu, Seoul",4.5,895 reviews,Google Maps,Thai,Itaewon (Noksapyeong),https://www.google.com/maps/search/?api=1&query=Buddha%27s%20Belly%2048%20Noksapyeong-daero%2040-gil%2C%20Yongsan-gu%2C%20Seoul
